
[26:19.000 --> 26:20.000]  So I,
[59:41.000 --> 59:44.000]  I'm sure I was visited by them as a child.
[59:44.000 --> 59:47.000]  Because it seems like I remember something.
[59:47.000 --> 59:50.000]  I did have a social worker I remember.
[59:50.000 --> 59:54.000]  But the first woman that came over was named Priscilla.
[59:54.000 --> 59:56.000]  And she was very nice.
[59:56.000 --> 59:59.000]  She came over and she, I let her in which is stupid.
[59:59.000 --> 01:00:02.000]  And I realized now you should never let them in if they ever come to your house.
[01:00:02.000 --> 01:00:04.000]  It's a thing you can take.
[01:00:04.000 --> 01:00:06.000]  They can never take away a child if you don't let them in.
[01:00:06.000 --> 01:00:08.000]  That's what I was told by Laura.
[01:00:08.000 --> 01:00:09.000]  But she came in.
[01:00:09.000 --> 01:00:10.000]  She viewed the house.
[01:00:10.000 --> 01:00:11.000]  It was safe.
[01:00:11.000 --> 01:00:12.000]  It was loving.
[01:00:12.000 --> 01:00:13.000]  It was fun.
[01:00:13.000 --> 01:00:15.000]  It was a good fucking home.
[01:00:15.000 --> 01:00:16.000]  And she reported that.
[01:00:16.000 --> 01:00:17.000]  Okay.
[01:00:17.000 --> 01:00:23.000]  Now Marie said to her in her interview that there was an incident that she was worried about.
[01:00:23.000 --> 01:00:25.000]  And I remember very well.
[01:00:25.000 --> 01:00:28.000]  We came home from shopping one day.
[01:00:28.000 --> 01:00:32.000]  And Marlo just starts telling us like a confession.
[01:00:32.000 --> 01:00:38.000]  This crazy story about touching penises at the Mark and Bobax house.
[01:00:38.000 --> 01:00:41.000]  These people that sort of turned on Marie.
[01:00:41.000 --> 01:00:43.000]  They were friends of Marie.
[01:00:43.000 --> 01:00:45.000]  And then some reason they were not.
[01:00:45.000 --> 01:00:48.000]  They just turned and then chose Steve's side.
[01:00:48.000 --> 01:00:50.000]  Because people would need divorce.
[01:00:50.000 --> 01:00:51.000]  People would pick sides.
[01:00:51.000 --> 01:00:52.000]  It's shitty.
[01:00:52.000 --> 01:00:54.000]  People are fucking shitty.
[01:00:54.000 --> 01:00:56.000]  You call someone a friend.
[01:00:56.000 --> 01:00:58.000]  I mean, it really hurt her.
[01:00:58.000 --> 01:00:59.000]  It really hurt her.
[01:00:59.000 --> 01:01:04.000]  And the things they said were so fucking ridiculous and stupid.
[01:01:04.000 --> 01:01:08.000]  Anyway, it's the...
[01:01:08.000 --> 01:01:10.000]  What was the point of that?
[01:01:10.000 --> 01:01:11.000]  Sorry.
[01:01:11.000 --> 01:01:12.000]  I need some more coffee.
[01:01:12.000 --> 01:01:15.000]  I'm talking too much about coffee.
[01:01:15.000 --> 01:01:16.000]  Okay.
[01:01:16.000 --> 01:01:19.000]  So what was it just before that?
[01:01:19.000 --> 01:01:21.000]  Oh, DCLA.
[01:01:21.000 --> 01:01:23.000]  So what comes to the house?
[01:01:23.000 --> 01:01:25.000]  She says, are you willing to take drugs to us?
[01:01:25.000 --> 01:01:28.000]  And we say, yes, you're willing to take drugs to us.
[01:01:28.000 --> 01:01:29.000]  Great.
[01:01:29.000 --> 01:01:32.000]  We don't hear back from her for about three or four days.
[01:01:32.000 --> 01:01:34.000]  Actually, we've never heard back from her.
[01:01:34.000 --> 01:01:36.000]  That was the last we saw at Priscilla.
[01:01:36.000 --> 01:01:38.000]  Next thing we know, police are at the door.
[01:01:38.000 --> 01:01:40.000]  This is actually the second time police came.
[01:01:40.000 --> 01:01:42.000]  They came before Priscilla came.
[01:01:42.000 --> 01:01:43.000]  And then they came.
[01:01:43.000 --> 01:01:45.000]  Then Priscilla and then the police came again.
[01:01:45.000 --> 01:01:47.000]  And then...
[01:01:47.000 --> 01:01:49.000]  No, this is Sabah Abta.
[01:01:49.000 --> 01:01:51.000]  And Erasmo...
[01:01:51.000 --> 01:01:53.000]  Aguilera.
[01:01:53.000 --> 01:01:55.000]  Aguilera.
[01:01:55.000 --> 01:01:57.000]  Not Aguilera, but Aguilera without the A.
[01:01:57.000 --> 01:01:58.000]  Those are not the police?
[01:01:58.000 --> 01:01:59.000]  Those are not the police.
[01:01:59.000 --> 01:02:00.000]  These are more DCFS.
[01:02:00.000 --> 01:02:01.000]  DCFS?
[01:02:01.000 --> 01:02:02.000]  Yeah.
[01:02:02.000 --> 01:02:05.000]  And now it's 10.30 at night and they're coming knocking door at 10.30 at night.
[01:02:05.000 --> 01:02:07.000]  And so, Marie's not home.
[01:02:07.000 --> 01:02:08.000]  She's at Amy's.
[01:02:08.000 --> 01:02:10.000]  And she's all under your camera.
[01:02:10.000 --> 01:02:13.000]  She'll put it on YouTube or something like that.
[01:02:13.000 --> 01:02:15.000]  And they are...
[01:02:15.000 --> 01:02:18.000]  You know, first they wake up Marlon.
[01:02:18.000 --> 01:02:19.000]  They're banging on the door.
[01:02:19.000 --> 01:02:20.000]  And Marlon was asleep.
[01:02:20.000 --> 01:02:21.000]  I was asleep.
[01:02:21.000 --> 01:02:23.000]  Because I woke up fucking early to the trade options.
[01:02:23.000 --> 01:02:25.000]  You know, like 6 o'clock, 6.30.
[01:02:25.000 --> 01:02:27.000]  The market's open at 6.30.
[01:02:27.000 --> 01:02:29.000]  I have to be awake and ready at 6.30 a.m.
[01:02:29.000 --> 01:02:31.000]  So, you know, I'm half asleep.
[01:02:31.000 --> 01:02:32.000]  And Marlon's like,
[01:02:32.000 --> 01:02:33.000]  Someone's at the door.
[01:02:33.000 --> 01:02:34.000]  Someone's at the door.
[01:02:34.000 --> 01:02:35.000]  I'm like, Marlon, why aren't you asleep?
[01:02:35.000 --> 01:02:36.000]  You're supposed to be asleep.
[01:02:36.000 --> 01:02:37.000]  They woke me up.
[01:02:37.000 --> 01:02:38.000]  They woke me up.
[01:02:38.000 --> 01:02:39.000]  It's okay.
[01:02:39.000 --> 01:02:40.000]  So I go out and I open the door.
[01:02:40.000 --> 01:02:41.000]  And I see...
[01:02:41.000 --> 01:02:42.000]  And I say, where's DCFS?
[01:02:42.000 --> 01:02:43.000]  We're going to talk to you.
[01:02:43.000 --> 01:02:45.000]  I'm like, I just spoke to you guys.
[01:02:45.000 --> 01:02:46.000]  You were just here, you know?
[01:02:46.000 --> 01:02:48.000]  And he's like, well, you got another call.
[01:02:48.000 --> 01:02:49.000]  And I'm like, fucking...
[01:02:49.000 --> 01:02:51.000]  And I know it's Patel calling every day.
[01:02:51.000 --> 01:02:53.000]  Patel and Steve's together calling every day.
[01:02:53.000 --> 01:02:54.000]  Just to fuck with us.
[01:02:54.000 --> 01:02:55.000]  You see where they can get.
[01:02:55.000 --> 01:02:56.000]  I know it.
[01:02:56.000 --> 01:02:57.000]  You know?
[01:02:57.000 --> 01:02:58.000]  And they know it too.
[01:02:58.000 --> 01:03:00.000]  So I'm like, you know, I'm just sort of sick of it.
[01:03:00.000 --> 01:03:02.000]  I don't really want to do this anymore.
[01:03:02.000 --> 01:03:03.000]  But I talk to them.
[01:03:03.000 --> 01:03:04.000]  We have a conversation.
[01:03:04.000 --> 01:03:05.000]  I'm very friendly.
[01:03:05.000 --> 01:03:06.000]  You know, I'm not...
[01:03:06.000 --> 01:03:08.000]  I don't give them any shit.
[01:03:08.000 --> 01:03:10.000]  And they just...
[01:03:10.000 --> 01:03:13.000]  I don't remember legally if they...
[01:03:13.000 --> 01:03:15.000]  If I invited them or they just walked in the house.
[01:03:15.000 --> 01:03:17.000]  So they ended up getting in the house.
[01:03:17.000 --> 01:03:19.000]  I don't remember saying, yeah, go ahead, please.
[01:03:19.000 --> 01:03:20.000]  Come in for another round.
[01:03:20.000 --> 01:03:21.000]  But they did.
[01:03:21.000 --> 01:03:22.000]  And they did the rounds.
[01:03:22.000 --> 01:03:24.000]  And we joked and we laughed.
[01:03:24.000 --> 01:03:25.000]  Now, here's...
[01:03:25.000 --> 01:03:26.000]  No.
[01:03:26.000 --> 01:03:27.000]  This is where I...
[01:03:27.000 --> 01:03:28.000]  We broke down.
[01:03:28.000 --> 01:03:30.000]  Marie and I have been doing this for three days.
[01:03:30.000 --> 01:03:31.000]  Like, nonstop.
[01:03:31.000 --> 01:03:33.000]  Working on this thing that you guys sent.
[01:03:33.000 --> 01:03:35.000]  You know, breaking every single word by word,
[01:03:35.000 --> 01:03:36.000]  every line by line.
[01:03:36.000 --> 01:03:37.000]  Where the lies are and what we can prove.
[01:03:37.000 --> 01:03:39.000]  We have documentary evidence for it when we don't.
[01:03:39.000 --> 01:03:40.000]  Right?
[01:03:40.000 --> 01:03:42.000]  For example, she says, I knocked on the door
[01:03:42.000 --> 01:03:45.000]  and took about ten minutes to come to the door.
[01:03:45.000 --> 01:03:48.000]  It took two minutes and thirty-two seconds.
[01:03:48.000 --> 01:03:49.000]  Okay?
[01:03:49.000 --> 01:03:51.000]  Two minutes and thirty-two fucking seconds.
[01:03:51.000 --> 01:03:53.000]  She says, we went through the house.
[01:03:53.000 --> 01:03:54.000]  There was no food in the refrigerator.
[01:03:54.000 --> 01:03:55.000]  It was scarce.
[01:03:55.000 --> 01:03:58.000]  We had just ordered about three hundred and fifty-four hundred dollars
[01:03:58.000 --> 01:03:59.000]  from Amazon delivery.
[01:03:59.000 --> 01:04:00.000]  Fresh, direct.
[01:04:00.000 --> 01:04:02.000]  To come fucking two guys full of...
[01:04:02.000 --> 01:04:03.000]  car full of food.
[01:04:03.000 --> 01:04:04.000]  It was overflowing.
[01:04:04.000 --> 01:04:05.000]  We made jokes.
[01:04:05.000 --> 01:04:06.000]  I joked them.
[01:04:06.000 --> 01:04:07.000]  I said, look, ha!
[01:04:07.000 --> 01:04:09.000]  Guess you can't say where you're going.
[01:04:09.000 --> 01:04:10.000]  So we're starving him.
[01:04:10.000 --> 01:04:12.000]  And we all laughed about it.
[01:04:12.000 --> 01:04:14.000]  In the report, it says, scarce.
[01:04:14.000 --> 01:04:16.000]  Those are just, like, too little things.
[01:04:16.000 --> 01:04:18.000]  No, I'm not even getting into the big ones.
[01:04:18.000 --> 01:04:20.000]  It was delivered the next day.
[01:04:20.000 --> 01:04:21.000]  No, it was there.
[01:04:21.000 --> 01:04:22.000]  It was already there.
[01:04:22.000 --> 01:04:24.000]  The night before, we had got ordered it.
[01:04:24.000 --> 01:04:26.000]  And we had packed up the fridge and the pantries.
[01:04:26.000 --> 01:04:27.000]  All right?
[01:04:27.000 --> 01:04:28.000]  It was like, what the fuck?
[01:04:28.000 --> 01:04:30.000]  We couldn't believe what we were reading.
[01:04:30.000 --> 01:04:33.000]  And if you read that thing, the first fourteen, fifteen pages are like,
[01:04:33.000 --> 01:04:34.000]  okay, fine.
[01:04:34.000 --> 01:04:35.000]  So it's normal.
[01:04:35.000 --> 01:04:36.000]  Nothing's wrong here.
[01:04:36.000 --> 01:04:41.000]  And then we become, like, the worst people you've ever heard.
[01:04:41.000 --> 01:04:43.000]  It's like fucking crazy shit.
[01:04:43.000 --> 01:04:47.000]  And somehow, I don't give her the number.
[01:04:47.000 --> 01:04:49.000]  She has Tim's number.
[01:04:49.000 --> 01:04:51.000]  How the fuck does she get Tim's number?
[01:04:51.000 --> 01:04:53.000]  And she says, and there's a little note at the end,
[01:04:53.000 --> 01:04:56.000]  because she's trying to discredit me as much as she can.
[01:04:56.000 --> 01:04:58.000]  And you can see that it's really hard.
[01:04:58.000 --> 01:05:00.000]  Worse than David Enridge did at The New York Times.
[01:05:00.000 --> 01:05:01.000]  Like, really come after me.
[01:05:01.000 --> 01:05:02.000]  But I don't understand.
[01:05:02.000 --> 01:05:05.000]  I'm what I did to anger her.
[01:05:05.000 --> 01:05:09.000]  I have a recording, because I've learned to record pretty much everything.
[01:05:09.000 --> 01:05:12.000]  You know, it's smart, because no way people can fuck with you.
[01:05:12.000 --> 01:05:15.000]  And another question, why?
[01:05:15.000 --> 01:05:17.000]  Like, I am.
[01:05:17.000 --> 01:05:18.000]  I'm joking.
[01:05:18.000 --> 01:05:21.000]  I'm just going to steal it from your cloud later.
[01:05:21.000 --> 01:05:27.000]  But what was I saying?
[01:05:27.000 --> 01:05:31.000]  I recorded her saying, well, obviously, you know, the house is great.
[01:05:31.000 --> 01:05:34.000]  Obviously, Marlo loves you and you love Marlo.
[01:05:34.000 --> 01:05:36.000]  It's not, you know, you guys are great.
[01:05:36.000 --> 01:05:39.000]  Just, we want you to take a drug test, and that's it.
[01:05:39.000 --> 01:05:41.000]  And I'm like, okay, that's it.
[01:05:41.000 --> 01:05:43.000]  I agreed.
[01:05:43.000 --> 01:05:46.000]  And then I said, and then there's another phone call later,
[01:05:46.000 --> 01:05:49.000]  because the next day, four police officers came.
[01:05:49.000 --> 01:05:52.000]  And that's where I was just, I had enough.
[01:05:52.000 --> 01:05:54.000]  I'm like, look, more fucking police officers.
[01:05:54.000 --> 01:05:57.000]  Ed, this is the fourth day in a row, and you're still doing this.
[01:05:57.000 --> 01:05:59.000]  At what point is this harassment?
[01:05:59.000 --> 01:06:02.000]  This is like a few weeks ago.
[01:06:02.000 --> 01:06:03.000]  Yeah.
[01:06:03.000 --> 01:06:07.000]  Oh, this is much, what's today the 12th?
[01:06:07.000 --> 01:06:09.000]  So today, yeah, we're in August now.
[01:06:09.000 --> 01:06:11.000]  We're in August.
[01:06:11.000 --> 01:06:13.000]  No, no, no, no, no, no.
[01:06:13.000 --> 01:06:17.000]  I was looking at the footage last night again.
[01:06:17.000 --> 01:06:19.000]  It was July 29th.
[01:06:19.000 --> 01:06:21.000]  This must be the 30th now.
[01:06:21.000 --> 01:06:24.000]  30th or August 1st, right around there.
[01:06:24.000 --> 01:06:26.000]  Yeah, I think so.
[01:06:26.000 --> 01:06:28.000]  Because the police came the next day, so it must be the 30th.
[01:06:28.000 --> 01:06:30.000]  How many days are in July?
[01:06:30.000 --> 01:06:32.000]  July 31.
[01:06:32.000 --> 01:06:35.000]  So it's 30th or 31st.
[01:06:35.000 --> 01:06:38.000]  Yeah, yeah.
[01:06:38.000 --> 01:06:40.000]  I didn't even know.
[01:06:40.000 --> 01:06:43.000]  I didn't even know.
[01:06:43.000 --> 01:06:47.000]  I had zero ideas when I asked.
[01:06:47.000 --> 01:06:50.000]  So, yeah.
[01:06:50.000 --> 01:06:52.000]  So all of this stuff that's happening,
[01:06:52.000 --> 01:06:56.000]  is that what was court on, what was it, on Monday?
[01:06:56.000 --> 01:06:57.000]  No, no, no.
[01:06:57.000 --> 01:07:00.000]  It gets worse.
[01:07:00.000 --> 01:07:04.000]  It gets worse when you get to what happens on Sunday.
[01:07:04.000 --> 01:07:07.000]  So I'm like, I say, Savva, look,
[01:07:07.000 --> 01:07:08.000]  and I read her this email.
[01:07:08.000 --> 01:07:11.000]  I said, look, nothing personal against you.
[01:07:11.000 --> 01:07:13.000]  You seem like a good person.
[01:07:13.000 --> 01:07:17.000]  I just, I'm tired of everyone of you guys believing this woman
[01:07:17.000 --> 01:07:21.000]  and accepting this as fact and not even investigating the caller.
[01:07:21.000 --> 01:07:23.000]  Clearly, this woman is out of her mind.
[01:07:23.000 --> 01:07:26.000]  And how can you not delineate saying from insane,
[01:07:26.000 --> 01:07:28.000]  I think that's your job, but I didn't say it like that.
[01:07:28.000 --> 01:07:29.000]  I said it very kindly.
[01:07:29.000 --> 01:07:30.000]  I have a copy of it.
[01:07:30.000 --> 01:07:31.000]  I supported you.
[01:07:31.000 --> 01:07:34.000]  And I said, look, I'm just going to say we'll do the drug test,
[01:07:34.000 --> 01:07:35.000]  but that's it.
[01:07:35.000 --> 01:07:36.000]  We're going to put our foot down.
[01:07:36.000 --> 01:07:38.000]  We're not going to do anything else after the drug test.
[01:07:38.000 --> 01:07:39.000]  All right.
[01:07:39.000 --> 01:07:41.000]  We're just going to, we're not going to, we're going to stop.
[01:07:41.000 --> 01:07:44.000]  So you tell us what the next move is and we will oblige.
[01:07:44.000 --> 01:07:45.000]  And that I can quote.
[01:07:45.000 --> 01:07:47.000]  I mean, I said that tell us what the next move is
[01:07:47.000 --> 01:07:48.000]  and we will oblige.
[01:07:48.000 --> 01:07:50.000]  That's a quote, right?
[01:07:50.000 --> 01:07:53.000]  And then I didn't hear from her.
[01:07:54.000 --> 01:08:00.000]  And then Tuesday of that week, we interviewed a clean lady.
[01:08:00.000 --> 01:08:05.000]  She came to us from, see, I still think Patel sent her this woman
[01:08:05.000 --> 01:08:09.000]  because I asked Patel, do you know anyone that it will clean and babysit?
[01:08:09.000 --> 01:08:12.000]  Because I feel bad that you, I don't want you to think
[01:08:12.000 --> 01:08:15.000]  we're sending Marla over to your place to babysit.
[01:08:15.000 --> 01:08:16.000]  Okay.
[01:08:16.000 --> 01:08:19.000]  So I was trying to overcompensate by saying,
[01:08:19.000 --> 01:08:21.000]  please give me the name and number of a fucking babysitter.
[01:08:21.000 --> 01:08:23.000]  You know, so that way she wouldn't think that.
[01:08:23.000 --> 01:08:25.000]  You know, so I still suspect it came from her,
[01:08:25.000 --> 01:08:27.000]  but Marie thinks it came from somebody else.
[01:08:27.000 --> 01:08:29.000]  So I don't know.
[01:08:29.000 --> 01:08:31.000]  But she called us and said, I heard you're looking for a babysitter.
[01:08:31.000 --> 01:08:34.000]  And I said, yes, we are, but also a cleaning lady too.
[01:08:34.000 --> 01:08:36.000]  Like you need to be able to clean.
[01:08:36.000 --> 01:08:38.000]  So she says, I can do that.
[01:08:38.000 --> 01:08:39.000]  And so we meet her on Tuesday.
[01:08:39.000 --> 01:08:42.000]  I honestly have no memory of this meeting.
[01:08:42.000 --> 01:08:44.000]  But Marie says we met on Tuesday.
[01:08:44.000 --> 01:08:45.000]  I don't know.
[01:08:45.000 --> 01:08:46.000]  I don't remember it.
[01:08:46.000 --> 01:08:50.000]  I mean, briefly, I remember saying, okay, thank you, shaking a hand.
